                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82165,                0.97051,                 1.2549,                0.49765,                0.90775,                0.55164,                0.38898,                 1.0934,                 1.1934,                 1.7084,              0.0011059,              0.0011059,              0.0011059
                     36,                0.80035,                0.96472,                 1.2353,                0.48492,                0.90236,                0.54598,                 0.4033,                0.99838,                 1.1039,                 1.6374,              0.0010894,              0.0010894,              0.0010894
                     37,                0.81814,                0.96751,                 1.2577,                0.49869,                0.88259,                0.57952,                0.40808,                 1.0716,                 1.2615,                 1.6833,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.7965,                0.94407,                 1.2438,                0.51076,                0.87444,                0.55672,                0.40386,                 1.0902,                 1.1698,                 1.7079,              0.0010564,              0.0010564,              0.0010564
                     39,                0.77172,                0.89124,                 1.2295,                 0.4897,                0.87535,                0.58875,                0.40487,                 1.0882,                 1.1385,                  1.639,              0.0010399,              0.0010399,              0.0010399
                     40,                0.77709,                0.90848,                 1.2169,                0.50419,                0.84847,                0.61857,                0.44276,                 1.0485,                 1.1143,                 1.6592,              0.0010234,              0.0010234,              0.0010234
                     41,                0.77071,                0.87822,                 1.2177,                0.50873,                0.75001,                0.54848,                0.40451,                0.98798,                 1.1708,                 1.6021,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.7651,                0.88937,                 1.2173,                0.53901,                0.86333,                0.62127,                0.44291,                 1.1242,                 1.1461,                 1.7214,             0.00099036,             0.00099036,             0.00099036
                     43,                0.74938,                0.88471,                 1.2122,                0.54588,                0.78475,                0.60057,                0.43633,                 1.0083,                 1.0979,                 1.6198,             0.00097386,             0.00097386,             0.00097386
                     44,                0.75243,                0.84079,                 1.2203,                0.54696,                0.86424,                0.62177,                0.44963,                 1.0077,                 1.0802,                 1.6545,             0.00095736,             0.00095736,             0.00095736
                     45,                 0.7484,                0.82319,                 1.2125,                0.48969,                0.80417,                0.55475,                0.39729,                 1.0377,                 1.2706,                 1.6754,             0.00094085,             0.00094085,             0.00094085
                     46,                 0.7445,                0.85082,                 1.2051,                 0.5706,                0.86897,                0.69357,                0.50644,                0.98841,                 1.0016,                 1.6135,             0.00092435,             0.00092435,             0.00092435
                     47,                0.73316,                0.83445,                 1.2034,                0.50344,                0.90417,                0.59691,                0.43542,                 1.0689,                 1.0988,                 1.7038,             0.00090785,             0.00090785,             0.00090785
                     48,                0.70744,                0.76926,                 1.1795,                0.46854,                0.79306,                0.58014,                 0.4199,                  1.071,                 1.2515,                 1.7133,             0.00089134,             0.00089134,             0.00089134
                     49,                0.72209,                0.76955,                 1.1957,                0.55892,                0.81218,                0.67112,                0.50273,                0.97649,                 1.0974,                 1.6091,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.7132,                0.76985,                 1.1765,                0.58867,                0.76381,                0.66852,                0.47931,                 1.0582,                  1.095,                  1.705,             0.00085834,             0.00085834,             0.00085834
                     51,                0.71047,                0.75974,                 1.1861,                0.54023,                 0.8072,                0.66885,                0.48099,                0.98393,                 1.3211,                 1.5897,             0.00084184,             0.00084184,             0.00084184
                     52,                0.70856,                0.73548,                 1.1938,                 0.5755,                0.81076,                0.67265,                0.48646,                0.98911,                 1.1735,                 1.6359,             0.00082533,             0.00082533,             0.00082533
                     53,                0.68976,                0.71637,                 1.1629,                0.55841,                0.74868,                0.65261,                0.47107,                 1.0449,                 1.3746,                 1.6913,             0.00080883,             0.00080883,             0.00080883
                     54,                0.68429,                0.76371,                  1.174,                0.57295,                0.82156,                0.64637,                0.46927,                  1.025,                 1.1072,                 1.6679,             0.00079233,             0.00079233,             0.00079233
                     55,                0.67808,                0.72466,                  1.172,                0.57651,                0.85069,                0.70819,                0.52247,                 1.0115,                 1.0862,                 1.6152,             0.00077582,             0.00077582,             0.00077582
                     56,                0.67605,                0.77813,                 1.1797,                0.57493,                 0.8162,                0.70666,                0.53984,                0.99221,                 1.1153,                 1.6372,             0.00075932,             0.00075932,             0.00075932
                     57,                0.66164,                0.69086,                 1.1587,                0.58409,                0.85054,                0.74389,                0.54427,                 1.0133,                 1.1487,                 1.6221,             0.00074282,             0.00074282,             0.00074282
                     58,                0.68881,                0.70333,                 1.1707,                0.61234,                 0.8063,                0.72061,                0.55733,                0.95871,                0.99201,                 1.5513,             0.00072631,             0.00072631,             0.00072631
                     59,                0.65047,                0.67356,                  1.151,                0.54009,                  0.796,                0.69661,                 0.5243,                0.96344,                  1.312,                 1.6244,             0.00070981,             0.00070981,             0.00070981
                     60,                0.65004,                0.66355,                  1.146,                0.64749,                0.76442,                0.74012,                0.56243,                0.99145,                 1.0043,                  1.651,             0.00069331,             0.00069331,             0.00069331
                     61,                0.65056,                0.65845,                 1.1472,                0.52122,                0.78847,                0.65094,                0.48179,                 1.0859,                 1.4346,                 1.7621,              0.0006768,              0.0006768,              0.0006768
                     62,                0.64988,                0.62859,                 1.1459,                 0.6521,                0.73483,                0.71203,                0.50535,                 1.0589,                0.99844,                 1.7371,              0.0006603,              0.0006603,              0.0006603
                     63,                0.63342,                0.64991,                 1.1243,                0.66729,                0.76375,                0.71113,                0.51322,                 1.1309,                0.98229,                 1.7602,              0.0006438,              0.0006438,              0.0006438
                     64,                0.66847,                0.67539,                 1.1707,                0.61049,                0.77981,                0.66609,                0.49431,                  1.093,                 1.0904,                 1.7354,             0.00062729,             0.00062729,             0.00062729
                     65,                0.61461,                0.61382,                 1.1202,                0.56676,                0.77743,                0.69111,                0.51902,                 1.0123,                 1.1351,                 1.7125,             0.00061079,             0.00061079,             0.00061079
